utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40377, 40960
0, 0, 0, 40376, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 3, 40374, 40960
0, 0, 15, 40362, 40960
9, 0, 515, 39862, 40960
9, 0, 555, 39822, 40960
6, 0, 589, 39788, 40960
6, 0, 629, 39748, 40960
7, 0, 657, 39720, 40960
7, 0, 693, 39684, 40960
6, 0, 735, 39642, 40960
6, 0, 775, 39602, 40960
5, 0, 815, 39562, 40960
5, 0, 857, 39520, 40960
5, 0, 1127, 39250, 40960
5, 0, 1387, 38990, 40960
31, 0, 1773, 38604, 40960
31, 0, 2073, 38304, 40960
33, 0, 2459, 37918, 40960
33, 0, 2845, 37532, 40960
33, 0, 3231, 37146, 40960
33, 0, 3617, 36760, 40960
33, 0, 4003, 36374, 40960
33, 0, 4389, 35988, 40960
33, 0, 4775, 35602, 40960
33, 0, 5161, 35216, 40960
34, 0, 5547, 34830, 40960
34, 0, 5933, 34444, 40960
33, 0, 6319, 34058, 40960
33, 0, 6705, 33672, 40960
34, 0, 7005, 33372, 40960
34, 0, 7391, 32986, 40960
34, 0, 7777, 32600, 40960
34, 0, 8163, 32214, 40960
34, 0, 8549, 31828, 40960
34, 0, 8935, 31442, 40960
34, 0, 9321, 31056, 40960
34, 0, 9707, 30670, 40960
33, 0, 10093, 30284, 40960
33, 0, 10393, 29984, 40960
22, 0, 10393, 29984, 40960
22, 0, 10393, 29984, 40960
5, 0, 10729, 29648, 40960
5, 0, 11115, 29262, 40960
34, 0, 11501, 28876, 40960
34, 0, 11887, 28490, 40960
34, 0, 12273, 28104, 40960
34, 0, 12659, 27718, 40960
34, 0, 13045, 27332, 40960
34, 0, 13345, 27032, 40960
33, 0, 13731, 26646, 40960
33, 0, 13731, 26646, 40960
8, 0, 13795, 26582, 40960
8, 0, 13795, 26582, 40960
3, 0, 13795, 26582, 40960
3, 0, 13835, 26542, 40960
2, 0, 13853, 26524, 40960
2, 0, 13875, 26502, 40960
2, 0, 13897, 26480, 40960
2, 0, 13921, 26456, 40960
3, 0, 13949, 26428, 40960
3, 0, 13973, 26404, 40960
3, 0, 13999, 26378, 40960
3, 0, 14029, 26348, 40960
3, 0, 14051, 26326, 40960
3, 0, 14073, 26304, 40960
3, 0, 14101, 26276, 40960
3, 0, 14127, 26250, 40960
3, 0, 14153, 26224, 40960
3, 0, 14173, 26204, 40960
3, 0, 14203, 26174, 40960
3, 0, 15333, 25044, 40960
59, 23, 15593, 24784, 40960
59, 23, 15593, 24784, 40960
61, 37, 15593, 24784, 40960
61, 37, 15613, 24764, 40960
62, 38, 15613, 24764, 40960
62, 38, 15613, 24764, 40960
64, 39, 15653, 24724, 40960
64, 39, 16053, 24324, 40960
60, 37, 16053, 24324, 40960
60, 37, 16053, 24324, 40960
64, 39, 16053, 24324, 40960
64, 39, 16053, 24324, 40960
65, 39, 16053, 24324, 40960
65, 39, 16053, 24324, 40960
64, 39, 16053, 24324, 40960
64, 39, 16053, 24324, 40960
65, 40, 16053, 24324, 40960
65, 40, 16053, 24324, 40960
65, 39, 16053, 24324, 40960
65, 39, 16053, 24324, 40960
64, 39, 16073, 24304, 40960
64, 39, 16073, 24304, 40960
65, 39, 16073, 24304, 40960
65, 39, 16073, 24304, 40960
67, 40, 16073, 24304, 40960
67, 40, 16073, 24304, 40960
68, 41, 16073, 24304, 40960
68, 41, 16073, 24304, 40960
67, 41, 16073, 24304, 40960
67, 41, 16073, 24304, 40960
67, 40, 16293, 24084, 40960
67, 40, 16293, 24084, 40960
66, 40, 16293, 24084, 40960
66, 40, 16293, 24084, 40960
66, 39, 16313, 24064, 40960
66, 39, 16313, 24064, 40960
67, 40, 16313, 24064, 40960
67, 40, 16333, 24044, 40960
67, 40, 16333, 24044, 40960
67, 40, 16333, 24044, 40960
65, 37, 16517, 23860, 40960
65, 37, 17441, 22936, 40960
80, 40, 17441, 22936, 40960
80, 40, 17441, 22936, 40960
69, 42, 17441, 22936, 40960
69, 42, 18351, 22026, 40960
65, 39, 18351, 22026, 40960
65, 39, 18351, 22026, 40960
70, 42, 18365, 22012, 40960
70, 42, 18365, 22012, 40960
70, 42, 18365, 22012, 40960
70, 42, 18365, 22012, 40960
69, 42, 18365, 22012, 40960
69, 42, 18365, 22012, 40960
69, 42, 18365, 22012, 40960
69, 42, 18365, 22012, 40960
72, 43, 18365, 22012, 40960
72, 43, 18379, 21998, 40960
71, 44, 18379, 21998, 40960
71, 44, 18393, 21984, 40960
70, 42, 18393, 21984, 40960
70, 42, 18393, 21984, 40960
70, 43, 18393, 21984, 40960
70, 43, 18393, 21984, 40960
71, 43, 18393, 21984, 40960
71, 43, 19289, 21088, 40960
67, 41, 19481, 20896, 40960
67, 41, 19497, 20880, 40960
72, 44, 19497, 20880, 40960
72, 44, 19497, 20880, 40960
72, 44, 19497, 20880, 40960
72, 44, 19497, 20880, 40960
69, 42, 19497, 20880, 40960
69, 42, 19497, 20880, 40960
70, 43, 19497, 20880, 40960
70, 43, 19497, 20880, 40960
72, 43, 19497, 20880, 40960
72, 43, 19497, 20880, 40960
71, 44, 19497, 20880, 40960
71, 44, 19513, 20864, 40960
71, 43, 19513, 20864, 40960
71, 43, 19513, 20864, 40960
72, 44, 19513, 20864, 40960
72, 44, 19513, 20864, 40960
65, 36, 19513, 20864, 40960
65, 36, 19513, 20864, 40960
58, 36, 19513, 20864, 40960
58, 36, 19513, 20864, 40960
58, 36, 19513, 20864, 40960
58, 36, 19513, 20864, 40960
58, 37, 19513, 20864, 40960
58, 37, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
60, 37, 19513, 20864, 40960
60, 37, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
59, 37, 19513, 20864, 40960
60, 37, 19513, 20864, 40960
60, 37, 19513, 20864, 40960
61, 37, 19513, 20864, 40960
61, 37, 19513, 20864, 40960
61, 37, 19513, 20864, 40960
60, 36, 19513, 20864, 40960
60, 36, 19513, 20864, 40960
61, 37, 19513, 20864, 40960
61, 37, 19513, 20864, 40960
62, 38, 19513, 20864, 40960
62, 38, 19513, 20864, 40960
61, 37, 19513, 20864, 40960
61, 37, 19513, 20864, 40960
60, 37, 19513, 20864, 40960
60, 37, 19513, 20864, 40960
61, 37, 19513, 20864, 40960
61, 37, 19513, 20864, 40960
62, 37, 19513, 20864, 40960
62, 37, 19513, 20864, 40960
