utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 24, 40314, 40960
0, 0, 427, 39911, 40960
3, 0, 767, 39571, 40960
3, 0, 841, 39497, 40960
20, 0, 841, 39497, 40960
20, 0, 1017, 39321, 40960
17, 1, 1279, 39059, 40960
17, 1, 1497, 38841, 40960
36, 2, 1715, 38623, 40960
36, 2, 1891, 38447, 40960
36, 2, 2109, 38229, 40960
36, 2, 2327, 38011, 40960
36, 2, 2459, 37879, 40960
36, 2, 2677, 37661, 40960
36, 2, 2895, 37443, 40960
36, 2, 3071, 37267, 40960
36, 2, 3291, 37047, 40960
36, 2, 3465, 36873, 40960
36, 2, 3641, 36697, 40960
37, 2, 3859, 36479, 40960
37, 2, 4077, 36261, 40960
37, 2, 4253, 36085, 40960
37, 2, 4471, 35867, 40960
37, 2, 4645, 35693, 40960
37, 2, 4777, 35561, 40960
37, 2, 5039, 35299, 40960
37, 2, 5257, 35081, 40960
37, 2, 5389, 34949, 40960
37, 2, 5653, 34685, 40960
37, 2, 5785, 34553, 40960
37, 2, 5785, 34553, 40960
2, 0, 5785, 34553, 40960
2, 0, 6035, 34303, 40960
23, 1, 6253, 34085, 40960
23, 1, 6429, 33909, 40960
37, 2, 6647, 33691, 40960
37, 2, 6821, 33517, 40960
37, 2, 6997, 33341, 40960
37, 2, 7215, 33123, 40960
36, 2, 7433, 32905, 40960
36, 2, 7609, 32729, 40960
32, 1, 7653, 32685, 40960
32, 1, 7653, 32685, 40960
3, 0, 7717, 32621, 40960
3, 0, 7717, 32621, 40960
0, 0, 7717, 32621, 40960
0, 0, 7717, 32621, 40960
0, 0, 7717, 32621, 40960
0, 0, 7717, 32621, 40960
0, 0, 7717, 32621, 40960
0, 0, 7845, 32493, 40960
2, 0, 7857, 32481, 40960
2, 0, 7953, 32385, 40960
7, 4, 8479, 31859, 40960
7, 4, 8479, 31859, 40960
0, 0, 8479, 31859, 40960
0, 0, 8479, 31859, 40960
1, 0, 8495, 31843, 40960
1, 0, 8841, 31497, 40960
28, 15, 8841, 31497, 40960
28, 15, 9271, 31067, 40960
70, 36, 9789, 30549, 40960
70, 36, 10393, 29945, 40960
