utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 25, 40314, 40960
3, 0, 439, 39899, 40960
3, 0, 439, 39899, 40960
0, 0, 439, 39899, 40960
0, 0, 577, 39761, 40960
20, 0, 1033, 39305, 40960
20, 0, 1489, 38849, 40960
40, 1, 1955, 38383, 40960
40, 1, 2421, 37917, 40960
40, 0, 2841, 37497, 40960
40, 0, 3307, 37031, 40960
40, 1, 3745, 36593, 40960
40, 1, 4201, 36137, 40960
39, 0, 4639, 35699, 40960
39, 0, 5105, 35233, 40960
39, 1, 5613, 34725, 40960
39, 1, 6015, 34323, 40960
39, 1, 6453, 33885, 40960
39, 1, 6919, 33419, 40960
39, 1, 7293, 33045, 40960
39, 1, 7393, 32945, 40960
8, 1, 7625, 32713, 40960
8, 1, 7625, 32713, 40960
8, 2, 7625, 32713, 40960
8, 2, 7625, 32713, 40960
0, 0, 7625, 32713, 40960
0, 0, 7625, 32713, 40960
0, 0, 7625, 32713, 40960
0, 0, 7625, 32713, 40960
0, 0, 7625, 32713, 40960
0, 0, 7625, 32713, 40960
0, 0, 7625, 32713, 40960
0, 0, 7971, 32367, 40960
48, 22, 7971, 32367, 40960
48, 22, 7971, 32367, 40960
44, 22, 7971, 32367, 40960
44, 22, 7971, 32367, 40960
53, 29, 7971, 32367, 40960
53, 29, 7971, 32367, 40960
68, 38, 7971, 32367, 40960
68, 38, 7971, 32367, 40960
42, 22, 7971, 32367, 40960
42, 22, 7971, 32367, 40960
69, 39, 7971, 32367, 40960
69, 39, 7971, 32367, 40960
54, 29, 7971, 32367, 40960
54, 29, 7971, 32367, 40960
55, 31, 7971, 32367, 40960
55, 31, 7971, 32367, 40960
67, 37, 7971, 32367, 40960
67, 37, 7971, 32367, 40960
42, 23, 7971, 32367, 40960
42, 23, 7971, 32367, 40960
69, 39, 7971, 32367, 40960
69, 39, 7971, 32367, 40960
52, 28, 7971, 32367, 40960
52, 28, 7971, 32367, 40960
57, 31, 7971, 32367, 40960
57, 31, 7971, 32367, 40960
65, 36, 7971, 32367, 40960
65, 36, 7971, 32367, 40960
44, 24, 7971, 32367, 40960
44, 24, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
50, 26, 7971, 32367, 40960
50, 26, 7971, 32367, 40960
59, 33, 7971, 32367, 40960
59, 33, 7971, 32367, 40960
64, 35, 7971, 32367, 40960
64, 35, 7971, 32367, 40960
45, 24, 7971, 32367, 40960
45, 24, 7971, 32367, 40960
70, 39, 7971, 32367, 40960
70, 39, 7971, 32367, 40960
50, 26, 7971, 32367, 40960
50, 26, 7971, 32367, 40960
60, 33, 7971, 32367, 40960
60, 33, 7971, 32367, 40960
64, 34, 7971, 32367, 40960
64, 34, 7971, 32367, 40960
46, 25, 7971, 32367, 40960
46, 25, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
47, 25, 7971, 32367, 40960
47, 25, 7971, 32367, 40960
63, 35, 7971, 32367, 40960
63, 35, 7971, 32367, 40960
59, 32, 7971, 32367, 40960
59, 32, 7971, 32367, 40960
51, 28, 7971, 32367, 40960
51, 28, 7971, 32367, 40960
69, 39, 7971, 32367, 40960
69, 39, 7971, 32367, 40960
43, 22, 7971, 32367, 40960
43, 22, 7971, 32367, 40960
67, 37, 7971, 32367, 40960
67, 37, 7971, 32367, 40960
56, 30, 7971, 32367, 40960
56, 30, 7971, 32367, 40960
54, 30, 7971, 32367, 40960
54, 30, 7971, 32367, 40960
68, 38, 7971, 32367, 40960
42, 22, 7971, 32367, 40960
42, 22, 7971, 32367, 40960
69, 39, 7971, 32367, 40960
69, 39, 7971, 32367, 40960
53, 28, 7971, 32367, 40960
53, 28, 7971, 32367, 40960
55, 31, 7971, 32367, 40960
55, 31, 7971, 32367, 40960
67, 37, 7971, 32367, 40960
67, 37, 7971, 32367, 40960
43, 23, 7971, 32367, 40960
43, 23, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
50, 26, 7971, 32367, 40960
50, 26, 7971, 32367, 40960
60, 33, 7971, 32367, 40960
60, 33, 7971, 32367, 40960
63, 34, 7971, 32367, 40960
63, 34, 7971, 32367, 40960
47, 26, 7971, 32367, 40960
47, 26, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
46, 24, 7971, 32367, 40960
46, 24, 7971, 32367, 40960
63, 35, 7971, 32367, 40960
63, 35, 7971, 32367, 40960
60, 32, 7971, 32367, 40960
60, 32, 7971, 32367, 40960
49, 27, 7971, 32367, 40960
49, 27, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
44, 23, 7971, 32367, 40960
44, 23, 7971, 32367, 40960
65, 36, 7971, 32367, 40960
65, 36, 7971, 32367, 40960
58, 31, 7971, 32367, 40960
58, 31, 7971, 32367, 40960
51, 28, 7971, 32367, 40960
51, 28, 7971, 32367, 40960
69, 39, 7971, 32367, 40960
69, 39, 7971, 32367, 40960
43, 22, 7971, 32367, 40960
43, 22, 7971, 32367, 40960
67, 37, 7971, 32367, 40960
67, 37, 7971, 32367, 40960
56, 30, 7971, 32367, 40960
56, 30, 7971, 32367, 40960
55, 30, 7971, 32367, 40960
55, 30, 7971, 32367, 40960
67, 37, 7971, 32367, 40960
67, 37, 7971, 32367, 40960
43, 23, 7971, 32367, 40960
43, 23, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
50, 27, 7971, 32367, 40960
50, 27, 7971, 32367, 40960
60, 34, 7971, 32367, 40960
60, 34, 7971, 32367, 40960
62, 34, 7971, 32367, 40960
62, 34, 7971, 32367, 40960
47, 26, 7971, 32367, 40960
47, 26, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
46, 24, 7971, 32367, 40960
46, 24, 7971, 32367, 40960
64, 36, 7971, 32367, 40960
64, 36, 7971, 32367, 40960
58, 31, 7971, 32367, 40960
58, 31, 7971, 32367, 40960
52, 28, 7971, 32367, 40960
52, 28, 7971, 32367, 40960
69, 39, 7971, 32367, 40960
69, 39, 7971, 32367, 40960
43, 22, 7971, 32367, 40960
43, 22, 7971, 32367, 40960
66, 37, 7971, 32367, 40960
66, 37, 7971, 32367, 40960
56, 30, 7971, 32367, 40960
56, 30, 7971, 32367, 40960
52, 29, 7971, 32367, 40960
52, 29, 7971, 32367, 40960
68, 39, 7971, 32367, 40960
68, 39, 7971, 32367, 40960
43, 22, 7971, 32367, 40960
43, 22, 7971, 32367, 40960
66, 37, 7971, 32367, 40960
66, 37, 7971, 32367, 40960
56, 30, 7971, 32367, 40960
56, 30, 7971, 32367, 40960
51, 28, 7971, 32367, 40960
51, 28, 7971, 32367, 40960
69, 39, 7971, 32367, 40960
69, 39, 7971, 32367, 40960
43, 22, 7971, 32367, 40960
43, 22, 7971, 32367, 40960
64, 36, 7971, 32367, 40960
64, 36, 7971, 32367, 40960
58, 31, 7971, 32367, 40960
58, 31, 7971, 32367, 40960
51, 28, 7971, 32367, 40960
51, 28, 7971, 32367, 40960
70, 39, 7971, 32367, 40960
70, 39, 7971, 32367, 40960
43, 22, 7971, 32367, 40960
43, 22, 7971, 32367, 40960
68, 38, 7971, 32367, 40960
68, 38, 7971, 32367, 40960
54, 29, 7971, 32367, 40960
54, 29, 7971, 32367, 40960
55, 30, 7971, 32367, 40960
55, 30, 7971, 32367, 40960
67, 37, 7971, 32367, 40960
67, 37, 7971, 32367, 40960
42, 23, 7971, 32367, 40960
42, 23, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
51, 27, 7971, 32367, 40960
51, 27, 7971, 32367, 40960
58, 32, 7971, 32367, 40960
58, 32, 7971, 32367, 40960
64, 35, 7971, 32367, 40960
64, 35, 7971, 32367, 40960
45, 25, 7971, 32367, 40960
45, 25, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
48, 25, 7971, 32367, 40960
48, 25, 7971, 32367, 40960
61, 34, 7971, 32367, 40960
61, 34, 7971, 32367, 40960
61, 33, 7971, 32367, 40960
61, 33, 7971, 32367, 40960
48, 26, 7971, 32367, 40960
48, 26, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
45, 24, 7971, 32367, 40960
45, 24, 7971, 32367, 40960
64, 36, 7971, 32367, 40960
64, 36, 7971, 32367, 40960
58, 31, 7971, 32367, 40960
58, 31, 7971, 32367, 40960
52, 28, 7971, 32367, 40960
52, 28, 7971, 32367, 40960
69, 39, 7971, 32367, 40960
69, 39, 7971, 32367, 40960
42, 22, 7971, 32367, 40960
42, 22, 7971, 32367, 40960
69, 39, 7971, 32367, 40960
69, 39, 7971, 32367, 40960
53, 28, 7971, 32367, 40960
53, 28, 7971, 32367, 40960
58, 32, 7971, 32367, 40960
58, 32, 7971, 32367, 40960
65, 35, 7971, 32367, 40960
65, 35, 7971, 32367, 40960
46, 25, 7971, 32367, 40960
46, 25, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
48, 25, 7971, 32367, 40960
48, 25, 7971, 32367, 40960
61, 34, 7971, 32367, 40960
61, 34, 7971, 32367, 40960
61, 33, 7971, 32367, 40960
61, 33, 7971, 32367, 40960
48, 26, 7971, 32367, 40960
48, 26, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
46, 24, 7971, 32367, 40960
46, 24, 7971, 32367, 40960
63, 35, 7971, 32367, 40960
63, 35, 7971, 32367, 40960
59, 32, 7971, 32367, 40960
59, 32, 7971, 32367, 40960
50, 27, 7971, 32367, 40960
50, 27, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
70, 40, 7971, 32367, 40960
43, 23, 7971, 32367, 40960
43, 23, 7971, 32367, 40960
65, 37, 7971, 32367, 40960
65, 37, 7971, 32367, 40960
57, 31, 7971, 32367, 40960
57, 31, 7971, 32367, 40960
52, 29, 7971, 32367, 40960
52, 29, 7971, 32367, 40960
68, 38, 7971, 32367, 40960
68, 38, 7971, 32367, 40960
42, 22, 7971, 32367, 40960
42, 22, 7971, 32367, 40960
