utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 0, 40337, 40960
0, 0, 3, 40335, 40960
0, 0, 15, 40323, 40960
1, 0, 429, 39909, 40960
1, 0, 461, 39877, 40960
5, 0, 497, 39841, 40960
5, 0, 535, 39803, 40960
4, 0, 571, 39767, 40960
4, 0, 609, 39729, 40960
4, 0, 647, 39691, 40960
4, 0, 683, 39655, 40960
4, 0, 721, 39617, 40960
4, 0, 753, 39585, 40960
4, 0, 781, 39557, 40960
4, 0, 781, 39557, 40960
1, 0, 1105, 39233, 40960
1, 0, 1569, 38769, 40960
38, 0, 2053, 38285, 40960
38, 0, 2459, 37879, 40960
36, 0, 2931, 37407, 40960
36, 0, 3377, 36961, 40960
37, 0, 3819, 36519, 40960
37, 0, 4347, 35991, 40960
38, 0, 4661, 35677, 40960
38, 0, 7091, 33247, 40960
47, 16, 7337, 33001, 40960
47, 16, 7337, 33001, 40960
78, 41, 7337, 33001, 40960
78, 41, 7337, 33001, 40960
83, 48, 7337, 33001, 40960
83, 48, 7337, 33001, 40960
91, 58, 7337, 33001, 40960
91, 58, 7337, 33001, 40960
82, 52, 7337, 33001, 40960
82, 52, 7337, 33001, 40960
87, 52, 7337, 33001, 40960
87, 52, 7337, 33001, 40960
84, 46, 7337, 33001, 40960
84, 46, 7337, 33001, 40960
91, 57, 7337, 33001, 40960
91, 57, 7337, 33001, 40960
82, 50, 7337, 33001, 40960
82, 50, 7337, 33001, 40960
89, 59, 7337, 33001, 40960
89, 59, 7337, 33001, 40960
85, 45, 7337, 33001, 40960
85, 45, 7337, 33001, 40960
90, 53, 7337, 33001, 40960
90, 53, 7337, 33001, 40960
83, 50, 7337, 33001, 40960
83, 50, 7337, 33001, 40960
90, 59, 7337, 33001, 40960
90, 59, 7337, 33001, 40960
87, 53, 7337, 33001, 40960
87, 53, 7337, 33001, 40960
85, 47, 7337, 33001, 40960
85, 47, 7337, 33001, 40960
83, 49, 7337, 33001, 40960
83, 49, 7337, 33001, 40960
85, 52, 7337, 33001, 40960
85, 52, 7337, 33001, 40960
88, 59, 7337, 33001, 40960
88, 59, 7337, 33001, 40960
87, 49, 7337, 33001, 40960
87, 49, 7337, 33001, 40960
84, 47, 7337, 33001, 40960
84, 47, 7337, 33001, 40960
83, 50, 7337, 33001, 40960
83, 50, 7337, 33001, 40960
90, 59, 7337, 33001, 40960
90, 59, 5353, 34985, 40960
89, 52, 5353, 34985, 40960
89, 52, 5353, 34985, 40960
90, 40, 5353, 34985, 40960
90, 40, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
89, 40, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
89, 40, 5353, 34985, 40960
89, 40, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
89, 40, 5353, 34985, 40960
89, 40, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
89, 40, 5353, 34985, 40960
89, 40, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
89, 40, 5353, 34985, 40960
89, 40, 5353, 34985, 40960
88, 40, 5353, 34985, 40960
88, 40, 5353, 34985, 40960
89, 40, 5353, 34985, 40960
89, 40, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
89, 40, 5353, 34985, 40960
89, 40, 5353, 34985, 40960
88, 40, 5353, 34985, 40960
88, 40, 5353, 34985, 40960
89, 40, 5353, 34985, 40960
89, 40, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
88, 39, 5353, 34985, 40960
89, 40, 5353, 34985, 40960
89, 40, 5353, 34985, 40960
88, 38, 1129, 39209, 40960
88, 38, 1126, 39211, 40960
68, 2, 0, 40337, 40960
68, 2, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
0, 0, 0, 40337, 40960
