utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 24, 40314, 40960
0, 0, 427, 39911, 40960
0, 0, 621, 39717, 40960
17, 0, 697, 39641, 40960
17, 0, 841, 39497, 40960
16, 1, 1013, 39325, 40960
16, 1, 1529, 38809, 40960
27, 1, 1529, 38809, 40960
27, 1, 1529, 38809, 40960
27, 1, 1529, 38809, 40960
27, 1, 1529, 38809, 40960
23, 1, 1529, 38809, 40960
23, 1, 1529, 38809, 40960
31, 2, 1529, 38809, 40960
31, 2, 1529, 38809, 40960
26, 0, 1529, 38809, 40960
26, 0, 1529, 38809, 40960
25, 1, 1529, 38809, 40960
25, 1, 1529, 38809, 40960
24, 1, 1529, 38809, 40960
24, 1, 1529, 38809, 40960
25, 1, 1529, 38809, 40960
25, 1, 1529, 38809, 40960
27, 1, 1529, 38809, 40960
27, 1, 1529, 38809, 40960
25, 1, 1529, 38809, 40960
25, 1, 1529, 38809, 40960
28, 2, 1529, 38809, 40960
28, 2, 1529, 38809, 40960
27, 1, 1529, 38809, 40960
27, 1, 1529, 38809, 40960
23, 1, 1529, 38809, 40960
23, 1, 1529, 38809, 40960
25, 1, 1529, 38809, 40960
25, 1, 1529, 38809, 40960
23, 1, 1529, 38809, 40960
23, 1, 1529, 38809, 40960
26, 1, 1529, 38809, 40960
26, 1, 1529, 38809, 40960
26, 1, 1529, 38809, 40960
26, 1, 1529, 38809, 40960
27, 1, 1529, 38809, 40960
27, 1, 1529, 38809, 40960
27, 1, 1529, 38809, 40960
27, 1, 1529, 38809, 40960
23, 1, 1529, 38809, 40960
23, 1, 1529, 38809, 40960
30, 2, 1529, 38809, 40960
30, 2, 1529, 38809, 40960
23, 0, 1529, 38809, 40960
24, 1, 1529, 38809, 40960
24, 1, 1529, 38809, 40960
25, 1, 1529, 38809, 40960
25, 1, 1529, 38809, 40960
27, 1, 1529, 38809, 40960
27, 1, 1529, 38809, 40960
27, 1, 1529, 38809, 40960
27, 1, 1529, 38809, 40960
25, 1, 1529, 38809, 40960
25, 1, 1529, 38809, 40960
35, 2, 1529, 38809, 40960
35, 2, 1529, 38809, 40960
32, 1, 1529, 38809, 40960
32, 1, 1529, 38809, 40960
24, 1, 1529, 38809, 40960
24, 1, 1529, 38809, 40960
25, 1, 1529, 38809, 40960
25, 1, 1529, 38809, 40960
24, 1, 1529, 38809, 40960
24, 1, 1529, 38809, 40960
27, 1, 1529, 38809, 40960
27, 1, 1529, 38809, 40960
26, 1, 1529, 38809, 40960
26, 1, 1529, 38809, 40960
